rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Faroe Islands,FRO,97.582,percent of population,2019.0
5,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Faroe Islands,FRO,18021.0,number,2019.0
13,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Faroe Islands,FRO,37.328,per 100 people,2019.0
15,Health,Mortality due to COVID-19,C3_Cancel public events,Faroe Islands,FRO,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
31,Environment,CO2 emissions (kt),C3_Cancel public events,Faroe Islands,FRO,630.724,kt,2016.0
33,Demographics,Secure Internet servers ,C3_Cancel public events,Faroe Islands,FRO,4991.98816713916,per 1 million people,2019.0
56,Health,Prevalence of COVID-19,C3_Cancel public events,Faroe Islands,FRO,534.0,"Number (cumulative total by Dec 26,2020)",2020.0
59,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Faroe Islands,FRO,116.474,per 100 people,2019.0
68,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Faroe Islands,FRO,13.09289,metric tons per capita,2016.0
84,Environment,Access to electricity ,C3_Cancel public events,Faroe Islands,FRO,100.0,percent of population,2018.0
93,Environment,Renewable energy consumption ,C3_Cancel public events,Faroe Islands,FRO,7.51358049162428,percent of total final energy consumption,2015.0
