Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,1,0,NULL,NULL,NULL
2020-03-15,0,0,NULL,NULL,NULL
2020-03-16,0,0,NULL,NULL,NULL
2020-03-17,0,0,NULL,NULL,NULL
2020-03-18,0,0,NULL,NULL,NULL
2020-03-19,0,0,NULL,NULL,NULL
2020-03-20,2,0,NULL,NULL,NULL
2020-03-21,1,0,NULL,NULL,NULL
2020-03-22,1,1,NULL,NULL,NULL
2020-03-23,0,1,NULL,NULL,NULL
2020-03-24,1,1,NULL,NULL,NULL
2020-03-25,0,1,NULL,NULL,NULL
2020-03-26,1,1,NULL,NULL,NULL
2020-03-27,0,1,NULL,NULL,NULL
2020-03-28,0,0,NULL,NULL,NULL
2020-03-29,0,0,NULL,NULL,NULL
2020-03-30,0,0,NULL,NULL,NULL
2020-03-31,9,1,NULL,NULL,NULL
2020-04-01,2,2,NULL,NULL,NULL
2020-04-02,3,2,NULL,NULL,NULL
2020-04-03,0,2,NULL,NULL,NULL
2020-04-04,0,2,NULL,NULL,NULL
2020-04-05,0,2,NULL,NULL,NULL
2020-04-06,3,2,NULL,NULL,NULL
2020-04-07,6,2,NULL,NULL,NULL
2020-04-08,4,2,NULL,NULL,NULL
2020-04-09,10,3,NULL,NULL,NULL
2020-04-10,0,3,NULL,NULL,NULL
2020-04-11,2,4,NULL,NULL,NULL
2020-04-12,3,4,NULL,NULL,NULL
2020-04-13,8,5,NULL,NULL,NULL
2020-04-14,0,4,NULL,NULL,NULL
2020-04-15,23,7,NULL,NULL,NULL
2020-04-16,0,5,NULL,NULL,NULL
2020-04-17,28,9,NULL,NULL,NULL
2020-04-18,0,9,NULL,NULL,NULL
2020-04-19,1,9,NULL,NULL,NULL
2020-04-20,11,9,NULL,NULL,NULL
2020-04-21,36,14,NULL,NULL,NULL
2020-04-22,10,12,NULL,NULL,NULL
2020-04-23,1,12,NULL,NULL,NULL
2020-04-24,5,9,NULL,NULL,NULL
2020-04-25,4,10,NULL,NULL,NULL
2020-04-26,0,10,NULL,NULL,NULL
2020-04-27,35,13,NULL,NULL,NULL
2020-04-28,27,12,NULL,NULL,NULL
2020-04-29,38,16,NULL,NULL,NULL
2020-04-30,0,16,NULL,NULL,NULL
2020-05-01,0,15,NULL,NULL,NULL
