Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,1,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,0,0,NULL,NULL,NULL
2020-03-15,0,0,NULL,NULL,NULL
2020-03-16,0,0,NULL,NULL,NULL
2020-03-17,0,0,NULL,NULL,NULL
2020-03-18,0,0,NULL,NULL,NULL
2020-03-19,0,0,NULL,NULL,NULL
2020-03-20,8,1,NULL,NULL,NULL
2020-03-21,6,2,NULL,NULL,NULL
2020-03-22,0,2,NULL,NULL,NULL
2020-03-23,2,2,NULL,NULL,NULL
2020-03-24,1,2,NULL,NULL,NULL
2020-03-25,3,3,NULL,NULL,NULL
2020-03-26,0,3,NULL,NULL,NULL
2020-03-27,2,2,NULL,NULL,NULL
2020-03-28,0,1,NULL,NULL,NULL
2020-03-29,0,1,NULL,NULL,NULL
2020-03-30,4,1,NULL,NULL,NULL
2020-03-31,4,2,NULL,NULL,NULL
2020-04-01,1,1,NULL,NULL,NULL
2020-04-02,3,2,NULL,NULL,NULL
2020-04-03,0,2,NULL,NULL,NULL
2020-04-04,0,2,NULL,NULL,NULL
2020-04-05,3,2,NULL,NULL,NULL
2020-04-06,14,4,NULL,NULL,NULL
2020-04-07,7,4,NULL,NULL,NULL
2020-04-08,4,4,NULL,NULL,NULL
2020-04-09,2,4,NULL,NULL,NULL
2020-04-10,2,5,NULL,NULL,NULL
2020-04-11,0,4,NULL,NULL,NULL
2020-04-12,0,4,NULL,NULL,NULL
2020-04-13,0,2,NULL,NULL,NULL
2020-04-14,0,1,NULL,NULL,NULL
2020-04-15,4,1,NULL,NULL,NULL
2020-04-16,0,1,NULL,NULL,NULL
2020-04-17,2,1,NULL,NULL,NULL
2020-04-18,0,1,NULL,NULL,NULL
2020-04-19,0,1,NULL,NULL,NULL
2020-04-20,0,1,NULL,NULL,NULL
2020-04-21,1,1,NULL,NULL,NULL
2020-04-22,2,1,NULL,NULL,NULL
2020-04-23,0,1,NULL,NULL,NULL
2020-04-24,1,0,NULL,NULL,NULL
2020-04-25,5,1,NULL,NULL,NULL
2020-04-26,2,2,NULL,NULL,NULL
2020-04-27,0,2,NULL,NULL,NULL
2020-04-28,0,1,NULL,NULL,NULL
2020-04-29,10,2,NULL,NULL,NULL
2020-04-30,7,4,NULL,NULL,NULL
2020-05-01,6,4,NULL,NULL,NULL
